Opetustila: 1478
Pvm Klo Lkm
1.10.2019 00:14 0
1.10.2019 00:30 0
1.10.2019 00:46 0
1.10.2019 01:02 0
1.10.2019 01:18 0
1.10.2019 01:34 0
1.10.2019 01:50 0
1.10.2019 02:06 0
1.10.2019 02:22 0
1.10.2019 02:38 0
1.10.2019 02:54 0
1.10.2019 03:10 0
1.10.2019 03:26 0
1.10.2019 03:42 0
1.10.2019 03:58 0
1.10.2019 04:14 0
1.10.2019 04:30 0
1.10.2019 04:46 0
1.10.2019 05:02 0
1.10.2019 05:18 0
1.10.2019 05:34 0
1.10.2019 05:50 0
1.10.2019 06:06 0
1.10.2019 06:22 0
1.10.2019 06:38 0
1.10.2019 06:54 0
1.10.2019 07:10 0
1.10.2019 07:26 0
1.10.2019 07:42 0
1.10.2019 07:58 0
1.10.2019 08:14 5
1.10.2019 08:30 5
1.10.2019 08:46 7
1.10.2019 09:02 14
1.10.2019 09:18 20
1.10.2019 09:34 22
1.10.2019 09:50 23
1.10.2019 10:06 20
1.10.2019 10:22 22
1.10.2019 10:38 19
1.10.2019 10:54 20
1.10.2019 11:10 20
1.10.2019 11:26 20
1.10.2019 11:42 19
1.10.2019 11:58 19
1.10.2019 12:14 6
1.10.2019 12:30 14
1.10.2019 12:46 14
1.10.2019 13:02 12
1.10.2019 13:18 10
1.10.2019 13:34 8
1.10.2019 13:50 6
1.10.2019 14:06 6
1.10.2019 14:22 7
1.10.2019 14:38 4
1.10.2019 14:54 3
1.10.2019 15:10 5
1.10.2019 15:26 6
1.10.2019 15:42 5
1.10.2019 15:58 6
1.10.2019 16:14 8
1.10.2019 16:30 14
1.10.2019 16:46 14
1.10.2019 17:02 13
1.10.2019 17:18 11
1.10.2019 17:34 10
1.10.2019 17:50 7
1.10.2019 18:06 4
1.10.2019 18:22 2
1.10.2019 18:38 1
1.10.2019 18:54 1
1.10.2019 19:10 1
1.10.2019 19:26 1
1.10.2019 19:42 1
1.10.2019 19:58 1
1.10.2019 20:14 0
1.10.2019 20:30 0
1.10.2019 20:46 0
1.10.2019 21:02 0
1.10.2019 21:18 0
1.10.2019 21:34 0
1.10.2019 21:50 0
1.10.2019 22:06 0
1.10.2019 22:22 0
1.10.2019 22:38 0
1.10.2019 22:54 0
1.10.2019 23:10 0
1.10.2019 23:26 0
1.10.2019 23:42 0
1.10.2019 23:58 0
2.10.2019 00:14 0
2.10.2019 00:30 0
2.10.2019 00:46 0
2.10.2019 01:02 0
2.10.2019 01:18 0
2.10.2019 01:34 0
2.10.2019 01:50 0
2.10.2019 02:06 0
2.10.2019 02:22 0
2.10.2019 02:38 0
2.10.2019 02:54 0
2.10.2019 03:10 0
2.10.2019 03:26 0
2.10.2019 03:42 0
2.10.2019 03:58 0
2.10.2019 04:14 0
2.10.2019 04:30 0
2.10.2019 04:46 0
2.10.2019 05:02 0
2.10.2019 05:18 0
2.10.2019 05:34 0
2.10.2019 05:50 0
2.10.2019 06:06 0
2.10.2019 06:22 0
2.10.2019 06:38 0
2.10.2019 06:54 0
2.10.2019 07:10 0
2.10.2019 07:26 0
2.10.2019 07:42 0
